"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"County","Alameda","CA","06001","=""06001""","126240","2019-2023","2022","Census","California (State)"
"County","Alpine","CA","06003","=""06003""","110781","2019-2023","2022","Census","California (State)"
"County","Amador","CA","06005","=""06005""","81526","2019-2023","2022","Census","California (State)"
"County","Butte","CA","06007","=""06007""","68574","2019-2023","2022","Census","California (State)"
"County","Calaveras","CA","06009","=""06009""","79877","2019-2023","2022","Census","California (State)"
"County","Colusa","CA","06011","=""06011""","75149","2019-2023","2022","Census","California (State)"
"County","Contra Costa","CA","06013","=""06013""","125727","2019-2023","2022","Census","California (State)"
"County","Del Norte","CA","06015","=""06015""","66780","2019-2023","2022","Census","California (State)"
"County","El Dorado","CA","06017","=""06017""","106190","2019-2023","2022","Census","California (State)"
"County","Fresno","CA","06019","=""06019""","71434","2019-2023","2022","Census","California (State)"
"County","Glenn","CA","06021","=""06021""","70487","2019-2023","2022","Census","California (State)"
"County","Humboldt","CA","06023","=""06023""","61135","2019-2023","2022","Census","California (State)"
"County","Imperial","CA","06025","=""06025""","56393","2019-2023","2022","Census","California (State)"
"County","Inyo","CA","06027","=""06027""","72432","2019-2023","2022","Census","California (State)"
"County","Kern","CA","06029","=""06029""","67660","2019-2023","2022","Census","California (State)"
"County","Kings","CA","06031","=""06031""","68750","2019-2023","2022","Census","California (State)"
"County","Lake","CA","06033","=""06033""","58738","2019-2023","2022","Census","California (State)"
"County","Lassen","CA","06035","=""06035""","64395","2019-2023","2022","Census","California (State)"
"County","Los Angeles","CA","06037","=""06037""","87760","2019-2023","2022","Census","California (State)"
"County","Madera","CA","06039","=""06039""","75496","2019-2023","2022","Census","California (State)"
"County","Marin","CA","06041","=""06041""","142785","2019-2023","2022","Census","California (State)"
"County","Mariposa","CA","06043","=""06043""","65378","2019-2023","2022","Census","California (State)"
"County","Mendocino","CA","06045","=""06045""","64688","2019-2023","2022","Census","California (State)"
"County","Merced","CA","06047","=""06047""","65044","2019-2023","2022","Census","California (State)"
"County","Modoc","CA","06049","=""06049""","56648","2019-2023","2022","Census","California (State)"
"County","Mono","CA","06051","=""06051""","86953","2019-2023","2022","Census","California (State)"
"County","Monterey","CA","06053","=""06053""","94486","2019-2023","2022","Census","California (State)"
"County","Napa","CA","06055","=""06055""","108970","2019-2023","2022","Census","California (State)"
"County","Nevada","CA","06057","=""06057""","84905","2019-2023","2022","Census","California (State)"
"County","Orange","CA","06059","=""06059""","113702","2019-2023","2022","Census","California (State)"
"County","Placer","CA","06061","=""06061""","114678","2019-2023","2022","Census","California (State)"
"County","Plumas","CA","06063","=""06063""","64946","2019-2023","2022","Census","California (State)"
"County","Riverside","CA","06065","=""06065""","89672","2019-2023","2022","Census","California (State)"
"County","Sacramento","CA","06067","=""06067""","88724","2019-2023","2022","Census","California (State)"
"County","San Benito","CA","06069","=""06069""","108289","2019-2023","2022","Census","California (State)"
"County","San Bernardino","CA","06071","=""06071""","82184","2019-2023","2022","Census","California (State)"
"County","San Diego","CA","06073","=""06073""","102285","2019-2023","2022","Census","California (State)"
"County","San Francisco","CA","06075","=""06075""","141446","2019-2023","2022","Census","California (State)"
"County","San Joaquin","CA","06077","=""06077""","88531","2019-2023","2022","Census","California (State)"
"County","San Luis Obispo","CA","06079","=""06079""","93398","2019-2023","2022","Census","California (State)"
"County","San Mateo","CA","06081","=""06081""","156000","2019-2023","2022","Census","California (State)"
"County","Santa Barbara","CA","06083","=""06083""","95977","2019-2023","2022","Census","California (State)"
"County","Santa Clara","CA","06085","=""06085""","159674","2019-2023","2022","Census","California (State)"
"County","Santa Cruz","CA","06087","=""06087""","109266","2019-2023","2022","Census","California (State)"
"County","Shasta","CA","06089","=""06089""","71931","2019-2023","2022","Census","California (State)"
"County","Sierra","CA","06091","=""06091""","60000","2019-2023","2022","Census","California (State)"
"County","Siskiyou","CA","06093","=""06093""","55499","2019-2023","2022","Census","California (State)"
"County","Solano","CA","06095","=""06095""","99994","2019-2023","2022","Census","California (State)"
"County","Sonoma","CA","06097","=""06097""","102840","2019-2023","2022","Census","California (State)"
"County","Stanislaus","CA","06099","=""06099""","79661","2019-2023","2022","Census","California (State)"
"County","Sutter","CA","06101","=""06101""","75450","2019-2023","2022","Census","California (State)"
"County","Tehama","CA","06103","=""06103""","61834","2019-2023","2022","Census","California (State)"
"County","Trinity","CA","06105","=""06105""","53498","2019-2023","2022","Census","California (State)"
"County","Tulare","CA","06107","=""06107""","69489","2019-2023","2022","Census","California (State)"
"County","Tuolumne","CA","06109","=""06109""","72259","2019-2023","2022","Census","California (State)"
"County","Ventura","CA","06111","=""06111""","107327","2019-2023","2022","Census","California (State)"
"County","Yolo","CA","06113","=""06113""","88818","2019-2023","2022","Census","California (State)"
"County","Yuba","CA","06115","=""06115""","73313","2019-2023","2022","Census","California (State)"
