medinc,GEOID
200893,06001400100
160536,06001400200
94732,06001400300
113036,06001400400
103846,06001400500
127232,06001400600
77829,06001400700
64808,06001400800
72632,06001400900
71685,06001401000
82049,06001401100
106250,06001401200
44107,06001401300
39250,06001401400
61406,06001401500
53750,06001401600
97472,06001401700
60671,06001401800
56615,06001402200
40208,06001402400
21538,06001402500
23409,06001402600
87833,06001402700
45547,06001402800
31932,06001402900
24699,06001403000
66000,06001403100
58365,06001403300
67658,06001403400
44803,06001403501
70526,06001403502
76719,06001403600
75141,06001403701
85821,06001403702
100305,06001403800
89982,06001403900
83114,06001404000
93721,06001404101
80077,06001404102
173864,06001404200
215809,06001404300
158239,06001404400
189044,06001404501
167077,06001404502
161324,06001404600
181000,06001404700
84129,06001404800
111846,06001404900
150913,06001405000
200729,06001405100
86307,06001405200
65208,06001405301
42682,06001405302
51434,06001405401
51414,06001405402
59513,06001405500
64583,06001405600
53873,06001405700
47061,06001405800
34291,06001405901
40089,06001405902
41971,06001406000
47560,06001406100
41404,06001406201
38636,06001406202
49116,06001406300
68456,06001406400
39947,06001406500
54073,06001406601
54063,06001406602
96915,06001406700
100469,06001406800
82759,06001406900
58214,06001407000
49529,06001407101
52632,06001407102
41761,06001407200
47935,06001407300
53804,06001407400
32145,06001407500
65066,06001407600
74409,06001407700
82981,06001407800
111757,06001407900
158125,06001408000
135048,06001408100
58493,06001408200
86012,06001408300
41303,06001408400
53197,06001408500
36812,06001408600
52380,06001408700
24406,06001408800
35714,06001408900
48190,06001409000
49583,06001409100
52734,06001409200
45625,06001409300
42243,06001409400
38973,06001409500
49406,06001409600
47798,06001409700
79375,06001409800
112292,06001409900
113411,06001410000
64570,06001410100
44594,06001410200
51554,06001410300
64196,06001410400
24318,06001410500
134750,06001420100
91840,06001420200
82731,06001420300
46959,06001420400
94395,06001420500
156250,06001420600
179821,06001421100
163750,06001421200
149516,06001421300
148164,06001421400
158807,06001421500
144615,06001421600
86140,06001421700
127250,06001421800
107469,06001421900
91369,06001422000
66310,06001422100
