participant,timestamp_unix,time_utc,stress_level,latitude,longitude,source
u00,1364237696,2013-03-25 18:54:56,2,43.70692415,-72.2873929,Dartmouth StudentLife public test dataset
u00,1364268806,2013-03-26 03:33:26,2,43.70555193,-72.28704778,Dartmouth StudentLife public test dataset
u00,1364268814,2013-03-26 03:33:34,2,43.70555193,-72.28704778,Dartmouth StudentLife public test dataset
u00,1364346740,2013-03-27 01:12:20,1,43.70678675,-72.28732051,Dartmouth StudentLife public test dataset
u00,1364509152,2013-03-28 22:19:12,4,43.70032217,-72.28941584,Dartmouth StudentLife public test dataset
u00,1364437527,2013-03-28 02:25:27,1,43.70508322,-72.28677496,Dartmouth StudentLife public test dataset
u00,1364498754,2013-03-28 19:25:54,2,43.70541477,-72.28837166,Dartmouth StudentLife public test dataset
u00,1364496192,2013-03-28 18:43:12,2,43.70514505,-72.28786512,Dartmouth StudentLife public test dataset
u00,1364498245,2013-03-28 19:17:25,3,43.70492199,-72.28765189,Dartmouth StudentLife public test dataset
u00,1364522754,2013-03-29 02:05:54,4,43.70671614,-72.28750076,Dartmouth StudentLife public test dataset
u00,1364572642,2013-03-29 15:57:22,1,43.70466313,-72.30515871,Dartmouth StudentLife public test dataset
u00,1364504894,2013-03-28 21:08:14,4,43.70540958,-72.28769817,Dartmouth StudentLife public test dataset
u00,1364590457,2013-03-29 20:54:17,1,43.70045799,-72.28948963,Dartmouth StudentLife public test dataset
u00,1364598486,2013-03-29 23:08:06,4,43.70045799,-72.28948963,Dartmouth StudentLife public test dataset
u00,1364617164,2013-03-30 04:19:24,4,43.70664323,-72.28735129,Dartmouth StudentLife public test dataset
u00,1364752485,2013-03-31 17:54:45,4,43.75914412,-72.32945574,Dartmouth StudentLife public test dataset
u00,1364770527,2013-03-31 22:55:27,5,43.75933742,-72.32887548,Dartmouth StudentLife public test dataset
u00,1364949608,2013-04-03 00:40:08,2,43.64517111,-72.34052885,Dartmouth StudentLife public test dataset
u00,1365035249,2013-04-04 00:27:29,4,43.70708859,-72.28753397,Dartmouth StudentLife public test dataset
u00,1365006419,2013-04-03 16:26:59,1,43.70718896,-72.28657272,Dartmouth StudentLife public test dataset
u00,1365087584,2013-04-04 14:59:44,1,43.70708859,-72.28753397,Dartmouth StudentLife public test dataset
u00,1365102258,2013-04-04 19:04:18,2,43.70708859,-72.28753397,Dartmouth StudentLife public test dataset
u00,1365117924,2013-04-04 23:25:24,4,43.70708859,-72.28753397,Dartmouth StudentLife public test dataset
u00,1365174158,2013-04-05 15:02:38,2,43.70708859,-72.28753397,Dartmouth StudentLife public test dataset
u00,1365187409,2013-04-05 18:43:29,1,43.70708859,-72.28753397,Dartmouth StudentLife public test dataset
u00,1365209004,2013-04-06 00:43:24,1,43.70708859,-72.28753397,Dartmouth StudentLife public test dataset
u00,1365309944,2013-04-07 04:45:44,5,43.70708859,-72.28753397,Dartmouth StudentLife public test dataset
u00,1365392025,2013-04-08 03:33:45,3,43.78764103,-72.32252081,Dartmouth StudentLife public test dataset
u00,1366057709,2013-04-15 20:28:29,3,43.70690265,-72.28747561,Dartmouth StudentLife public test dataset
u00,1365485623,2013-04-09 05:33:43,3,43.75915445,-72.32925527,Dartmouth StudentLife public test dataset
u00,1365554518,2013-04-10 00:41:58,1,43.70668295,-72.28724732,Dartmouth StudentLife public test dataset
u00,1365547428,2013-04-09 22:43:48,1,43.70682418,-72.28798538,Dartmouth StudentLife public test dataset
u00,1365807220,2013-04-12 22:53:40,2,43.70481436,-72.28805954,Dartmouth StudentLife public test dataset
u00,1366297660,2013-04-18 15:07:40,4,43.7591511,-72.32945525,Dartmouth StudentLife public test dataset
u00,1366100129,2013-04-16 08:15:29,3,43.75899579,-72.32903844,Dartmouth StudentLife public test dataset
u00,1366084895,2013-04-16 04:01:35,3,43.75948572,-72.3291779,Dartmouth StudentLife public test dataset
u00,1366191758,2013-04-17 09:42:38,3,43.75920543,-72.32915097,Dartmouth StudentLife public test dataset
u00,1366258945,2013-04-18 04:22:25,4,43.70119593,-72.29059041,Dartmouth StudentLife public test dataset
u00,1366912997,2013-04-25 18:03:17,1,43.70539121,-72.28823469,Dartmouth StudentLife public test dataset
u00,1366707298,2013-04-23 08:54:58,1,43.75934857,-72.32904627,Dartmouth StudentLife public test dataset
u00,1366999339,2013-04-26 18:02:19,1,43.73657036,-72.31722019,Dartmouth StudentLife public test dataset
u00,1367296021,2013-04-30 04:27:01,3,43.70671166,-72.28752047,Dartmouth StudentLife public test dataset
u00,1368585696,2013-05-15 02:41:36,4,43.75925379,-72.32896315,Dartmouth StudentLife public test dataset
u00,1368670294,2013-05-16 02:11:34,4,43.70577916,-72.28646757,Dartmouth StudentLife public test dataset
u00,1368650985,2013-05-15 20:49:45,1,43.70342306,-72.28790457,Dartmouth StudentLife public test dataset
u00,1368756027,2013-05-17 02:00:27,4,43.6853331,-72.3136472,Dartmouth StudentLife public test dataset
u00,1368819907,2013-05-17 19:45:07,4,43.7590614,-72.32948628,Dartmouth StudentLife public test dataset
u00,1369022636,2013-05-20 04:03:56,1,43.75896264,-72.32915927,Dartmouth StudentLife public test dataset
u00,1369151838,2013-05-21 15:57:18,2,43.71426733,-72.30833474,Dartmouth StudentLife public test dataset
u00,1369195879,2013-05-22 04:11:19,1,43.70685166,-72.28720734,Dartmouth StudentLife public test dataset
u00,1369253012,2013-05-22 20:03:32,1,43.70092569,-72.2894562,Dartmouth StudentLife public test dataset
